date,actions_lock_total,actions_give_total,actions_exit_total,actions_free_total,actions_open_total,actions_bite_total,actions_draw_total,actions_join_total,actions_shut_total,actions_wipe_total
2019-11-24,184,30,159,127,22,88,130,197,23,161
2019-12-13,30,23,32,24,13,0,39,30,12,22
2020-01-02,37,12,42,33,11,4,36,38,14,29
2020-01-22,13,23,27,17,4,0,34,13,16,6
2020-02-11,41,26,40,33,14,0,61,41,20,28
2019-06-03,141,19,161,150,20,4,146,147,9,147
2019-06-04,358,19,268,239,29,6,320,362,10,262
2019-06-05,124,25,81,81,19,0,119,124,10,81
2019-07-21,87,17,69,70,22,0,91,87,6,89
2019-07-22,114,55,113,112,23,1,116,114,10,106
2019-07-23,100,49,100,95,21,3,111,101,11,91
2019-08-12,2065,1922,277,271,1920,3,2236,2068,163,327
2019-08-13,1933,1783,296,282,1767,18,2083,1937,181,362
2019-08-14,1972,1678,421,352,1664,204,1981,1995,150,403
2019-09-26,259,46,151,120,42,32,177,267,20,149
2019-10-16,1344,1146,295,248,1162,537,1393,1347,133,284
2019-11-05,167,38,96,95,32,0,178,171,33,98
2019-11-25,472,40,347,282,30,101,197,486,42,358
2019-12-14,44,37,44,30,23,0,51,45,29,37
2020-01-03,33,21,31,24,10,0,45,33,16,27
2020-01-23,24,21,79,23,13,6,34,24,18,18
2020-02-12,69,46,74,56,17,1,99,69,33,37
2019-03-09,102,29,89,90,23,0,114,102,8,104
